x,y
12480,296222.8060856249
12240,301432.458621939
12040,304517.0278784994
11800,312010.1618130343
11640,314385.7202421041
11520,317176.9984291271
11280,326701.9085256174
11080,332064.67894246767
10840,345414.3537239965
10680,349220.05565775296
10560,354568.06436756125
12120,303618.9825565195
11960,305366.6891238131
11800,312010.1618130343
11560,316655.9433524831
11400,324394.3176864651
11160,331450.61451505387
11000,333990.99589748407
10840,345414.3537239965
10600,354087.0523907361
10440,367417.986526249
10200,380853.5507126592
11800,311216.52382401796
11680,314354.32465567597
11480,316803.66087451956
11160,329910.46715833107
11080,331568.2110578915
10760,344913.69259293674
10640,350538.7640000209
10440,354747.6675682572
10120,378092.0475380418
10040,381299.00889983546
9720,405336.849887608
11640,314446.0414599653
11360,322824.8239883024
11120,330118.7803005319
11000,333969.65799194755
10680,348528.0337645169
10600,350968.2966728581
10320,366037.96563114127
10080,378852.82965695695
9960,386284.54449593724
9640,412166.22165877826
9560,416822.1730530473
11280,327501.90063356137
11040,332880.46256137546
10920,339919.5913222047
10560,352211.18177360913
10440,356981.0776940467
10160,374297.5764552724
9920,384668.71562092274
9800,397089.8883913787
9440,419677.2498392581
9320,428869.04645771027
9040,460396.98776625923
10960,333040.24559378513
10720,347378.8367523125
10480,354991.1869521522
10360,357296.970528772
10040,380242.3600011166
9840,385317.23014267895
9600,411042.2384523567
9360,424862.1788379162
9240,430030.800231685
8920,471688.8784904545
8720,483267.75591730786
10640,350353.2426409786
10400,357818.1374007471
10200,371364.4720266598
9960,381849.3167762076
9760,389940.05526660295
9520,416770.8469251461
9280,430548.4238804728
9080,455705.8067555007
8840,475961.13380496216
8640,492005.0180649629
8400,545280.5648379256
10320,358498.0331610755
10080,378461.1880383915
9760,389549.66485708376
9560,409895.63761543477
9320,423454.5243225451
9120,432395.2352588306
8880,469024.26632129285
8560,491578.76103583287
8360,529269.6988944858
8120,558213.6836296134
7920,579988.1830905254
9880,383704.7587433979
9720,389845.9997844543
9440,414438.2670768166
9280,424033.0543519452
8960,455617.15996191313
8680,479650.2072548846
8520,492522.8235763327
8240,539715.4947484338
8080,559606.0026508684
7760,624373.2099138125
7480,682589.2475168897
9560,407384.8661508307
9360,419216.23444713873
9160,429111.1839586853
8800,469191.81079551775
8640,479676.3377127388
8280,524860.9493154872
8080,548723.3079027772
7880,569123.3283470345
7520,652244.0187186991
7360,682800.7222464269
7000,788664.4375550678
9160,428835.8858101363
9040,444685.65828102967
8680,471921.20035747014
8480,486837.45198507264
8160,533352.2837869003
7880,568304.9229169876
7760,601193.5813364701
7400,657774.3827248875
7200,696389.817969626
6880,805530.4969227405
6600,904183.2132203531
